nid,prediction,actual,Sex,Subset
F8C,6.80445533487509,8,female,test
F8B,5.430908958458248,8,female,test
F0A,0.7274192511590423,0,female,test
M0J,2.0103755603060582,0,male,test
F2L,3.5705400150182656,2,female,test
F2C,2.8949275511944355,2,female,test
F1I,3.7984686925870172,1,female,test
M2D,1.235782180727592,2,male,test
M1F,-0.11387787911235647,1,male,test
F4R,3.182487237818688,4,female,test
M8C,6.314167166165397,8,male,test
M8B,5.865699010535378,8,male,test
M4G,5.198845683895204,4,male,test
M4F,3.421484754731409,4,male,test
M4O,3.999999999963864,4,male,train
M4I,3.9999999999478235,4,male,train
F1A,1.0000000000484381,1,female,train
F1L,0.9999999999941953,1,female,train
F0K,2.0506041309431566e-11,0,female,train
F8F,7.999999999908901,8,female,train
F8E,7.999999999812291,8,female,train
F0C,1.5965051503030736e-10,0,female,train
M0K,2.088262895938442e-11,0,male,train
M0I,6.264122554000551e-11,0,male,train
M8F,7.999999999985361,8,male,train
M8E,7.99999999992054,8,male,train
F2N,2.0000000000603695,2,female,train
F2E,2.0000000000136198,2,female,train
M2O,2.000000000059709,2,male,train
M2N,2.0000000000818376,2,male,train
M1J,1.0000000000455271,1,male,train
M1B,1.0000000000093725,1,male,train
F4K,3.999999999960432,4,female,train
F4E,3.999999999978018,4,female,train
M4R,3.9999999999561706,4,male,train
F8I,7.999999999990903,8,female,train
