nid,prediction,actual,Sex,time,Subset
M4I,-1.4951735272313762,-1.2,male,4,test
F8B,0.9151141076486704,2.4,female,8,test
F0A,1.2531419973245193,0.5,female,0,test
M0J,0.08236443343905364,1.7,male,0,test
M8F,-1.512275403955936,-3.3,male,8,test
M8E,-2.577121998900145,-5.5,male,8,test
F4K,-0.8034949576815862,-0.4,female,4,test
M4F,-2.4240608879662453,-2.1,male,4,test
F8I,-3.016397369586194,-1.9,female,8,test
M4O,3.1999999999732758,3.2,male,4,train
F0K,1.8000000000082048,1.8,female,0,train
F8F,-2.1999999999525386,-2.2,female,8,train
F8E,1.299999999978736,1.3,female,8,train
F8C,0.20000000001831442,0.2,female,8,train
F0C,4.499999999881827,4.5,female,0,train
M0K,1.0999999999761867,1.1,male,0,train
M0I,-2.1508128611458233e-11,0.0,male,0,train
F4R,-0.39999999995747615,-0.4,female,4,train
F4E,-0.6999999999860265,-0.7,female,4,train
M4R,-1.6999999999621966,-1.7,male,4,train
M8C,-5.400000000001132,-5.4,male,8,train
M8B,-5.799999999972481,-5.8,male,8,train
M4G,-3.2999999999830187,-3.3,male,4,train
