"","ensembl_gene_id","external_gene_name"
"1","ENSRNOG00000031780","AY172581.13"
"2","ENSRNOG00000030478","AY172581.9"
"3","ENSRNOG00000029171","AY172581.3"
"4","ENSRNOG00000043866","AY172581.24"
"5","ENSRNOG00000032112","AY172581.14"
"6","ENSRNOG00000030644","Mt-nd1"
"7","ENSRNOG00000029301","AY172581.4"
"8","ENSRNOG00000033545","AY172581.21"
"9","ENSRNOG00000032274","AY172581.15"
"10","ENSRNOG00000031033","Mt-nd2"
"11","ENSRNOG00000029677","AY172581.6"
"12","ENSRNOG00000033932","AY172581.22"
"13","ENSRNOG00000032609","AY172581.18"
"14","ENSRNOG00000031333","AY172581.10"
"15","ENSRNOG00000029954","AY172581.7"
"16","ENSRNOG00000034234","Mt-co1"
"17","ENSRNOG00000032882","AY172581.19"
"18","ENSRNOG00000031685","AY172581.12"
"19","ENSRNOG00000030371","Mt-co2"
"20","ENSRNOG00000029070","AY172581.1"
"21","ENSRNOG00000033299","Mt-atp8"
"22","ENSRNOG00000031979","Mt-atp6"
"23","ENSRNOG00000030700","Mt-co3"
"24","ENSRNOG00000029389","AY172581.5"
"25","ENSRNOG00000033615","Mt-nd3"
"26","ENSRNOG00000032320","AY172581.16"
"27","ENSRNOG00000031053","Mt-nd4l"
"28","ENSRNOG00000029707","Mt-nd4"
"29","ENSRNOG00000033957","AY172581.23"
"30","ENSRNOG00000032578","AY172581.17"
"31","ENSRNOG00000031667","AY172581.11"
"32","ENSRNOG00000029971","Mt-nd5"
"33","ENSRNOG00000029042","Mt-nd6"
"34","ENSRNOG00000032997","AY172581.20"
"35","ENSRNOG00000031766","Mt-cyb"
"36","ENSRNOG00000030339","AY172581.8"
"37","ENSRNOG00000029145","AY172581.2"
