barcode,path,nac_path,mat_path,amb_path,time,sex,tissue,viallabel,pid,calculated.variables.pct_body_fat_change,calculated.variables.pct_body_lean_change,calculated.variables.pct_body_fluid_change,calculated.variables.lactate_change_dueto_train,calculated.variables.vo2_max_change,calculated.variables.coll_time_train,calculated.variables.deathtime_after_train,calculated.variables.frozetime_after_train
SRR25250918,/tolva/rat_attack/rat/count_matrices_SRR25250918/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250918/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250918/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250918/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,skm-gn,90571015512,0,,,,,,182512,182672,182563
SRR25250920,/tolva/rat_attack/rat/count_matrices_SRR25250920/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250920/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250920/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250920/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,skm-gn,90289015512,1,3.2,-1.4,0.5,8.8,0.61,179330,179551,179371
SRR25250921,/tolva/rat_attack/rat/count_matrices_SRR25250921/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250921/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250921/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250921/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,skm-gn,90283015512,2,-1.2,1.1,0.1,12.0,4.47,182656,182881,182688
SRR25250922,/tolva/rat_attack/rat/count_matrices_SRR25250922/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250922/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250922/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250922/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,skm-gn,90560015512,3,,,,,,168166,168361,168205
SRR25250923,/tolva/rat_attack/rat/count_matrices_SRR25250923/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250923/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250923/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250923/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,skm-gn,90266015512,4,4.1,-5.2,0.0,5.6,-14.17,181149,181366,181183
SRR25250924,/tolva/rat_attack/rat/count_matrices_SRR25250924/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250924/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250924/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250924/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,skm-gn,90559015512,5,,,,,,179510,179663,179543
SRR25250925,/tolva/rat_attack/rat/count_matrices_SRR25250925/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250925/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250925/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250925/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,skm-gn,90265015512,6,1.8,-2.8,-0.4,12.7,-15.46,179911,180112,179936
SRR25250926,/tolva/rat_attack/rat/count_matrices_SRR25250926/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250926/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250926/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250926/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,skm-gn,90259015512,7,-2.2,4.5,-0.1,6.9,8.68,178743,178956,178780
SRR25250927,/tolva/rat_attack/rat/count_matrices_SRR25250927/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250927/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250927/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250927/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,skm-gn,90258015512,8,1.3,0.3,-0.4,5.0,15.47,177543,177754,177596
SRR25250928,/tolva/rat_attack/rat/count_matrices_SRR25250928/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250928/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250928/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250928/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,skm-gn,90254015512,9,0.2,2.8,-0.6,10.8,14.02,179622,179840,179665
SRR25250930,/tolva/rat_attack/rat/count_matrices_SRR25250930/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250930/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250930/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250930/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,skm-gn,90252015512,10,3.4,-4.0,-0.4,6.9,3.92,188936,189183,188981
SRR25250931,/tolva/rat_attack/rat/count_matrices_SRR25250931/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250931/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250931/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250931/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,skm-gn,90251015512,11,2.4,-0.7,0.0,7.2,3.57,180773,181010,180816
SRR25250932,/tolva/rat_attack/rat/count_matrices_SRR25250932/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250932/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250932/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25250932/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,skm-gn,90248015512,12,4.5,-3.6,-0.2,8.9,-7.87,179537,179716,179562
