pid,viallabel,calculated.variables.pct_body_fat_change,calculated.variables.pct_body_lean_change,calculated.variables.pct_body_fluid_change,calculated.variables.lactate_change_dueto_train,calculated.variables.vo2_max_change,calculated.variables.coll_time_train,calculated.variables.deathtime_after_train,calculated.variables.frozetime_after_train,group,sex,tissue,time,rank,nid,barcode,path,nac_path,mat_path,amb_path
10023259,90217013001,1.8,6.9,1.6,7.7,-1.0,168866,169279,176100,control,M,BLOOD,0,A,M0A,SRR25251722,/tolva/rat_attack/rat/count_matrices_SRR25251722/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251722/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251722/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251722/quants_unfiltered_ambiguous/abundance_1/abundance.h5
10023259,90217013104,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013105,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013106,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013107,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013108,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013109,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013110,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217013111,1.8,6.9,1.6,7.7,-1.0,168866,169279,171453,control,M,PLASMA,0,A,M0A,,,,,
10023259,90217015202,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,SRR25251305,/tolva/rat_attack/rat/count_matrices_SRR25251305/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251305/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251305/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251305/quants_unfiltered_ambiguous/abundance_1/abundance.h5
10023259,90217015203,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015204,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015205,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015206,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015207,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015208,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015209,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015210,1.8,6.9,1.6,7.7,-1.0,169636,169279,169645,control,M,HIPPOC,0,A,M0A,,,,,
10023259,90217015302,1.8,6.9,1.6,7.7,-1.0,169659,169279,169668,control,M,CORTEX,0,A,M0A,SRR25251016,/tolva/rat_attack/rat/count_matrices_SRR25251016/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251016/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251016/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251016/quants_unfiltered_ambiguous/abundance_1/abundance.h5
10023259,90217015303,1.8,6.9,1.6,7.7,-1.0,169659,169279,169668,control,M,CORTEX,0,A,M0A,,,,,
10023259,90217015304,1.8,6.9,1.6,7.7,-1.0,169659,169279,169668,control,M,CORTEX,0,A,M0A,,,,,
10023259,90217015305,1.8,6.9,1.6,7.7,-1.0,169659,169279,169668,control,M,CORTEX,0,A,M0A,,,,,
10023259,90217015306,1.8,6.9,1.6,7.7,-1.0,169659,169279,169668,control,M,CORTEX,0,A,M0A,,,,,
10023259,90217015402,1.8,6.9,1.6,7.7,-1.0,169543,169279,169547,control,M,HYPOTH,0,A,M0A,SRR25251842,/tolva/rat_attack/rat/count_matrices_SRR25251842/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251842/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251842/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251842/quants_unfiltered_ambiguous/abundance_1/abundance.h5
10023259,90217015503,1.8,6.9,1.6,7.7,-1.0,169003,169279,169050,control,M,SKM-GN,0,A,M0A,,,,,
10023259,90217015504,1.8,6.9,1.6,7.7,-1.0,169003,169279,169050,control,M,SKM-GN,0,A,M0A,,,,,
10023259,90217015505,1.8,6.9,1.6,7.7,-1.0,169003,169279,169050,control,M,SKM-GN,0,A,M0A,,,,,
10023259,90217015507,1.8,6.9,1.6,7.7,-1.0,169003,169279,169050,control,M,SKM-GN,0,A,M0A,,,,,
10023259,90217015508,1.8,6.9,1.6,7.7,-1.0,169003,169279,169050,control,M,SKM-GN,0,A,M0A,,,,,
