gene_symbol,n_features,features,n_feature_IDs,n_omes,omes,n_tissues,tissues
Hsph1,16,TRNSCRPT;LIVER;ENSRNOG00000000902|PROT;SKM-GN;NP_001011901.1|PROT;HEART;NP_001011901.1|PROT;KIDNEY;NP_001011901.1|PROT;LUNG;NP_001011901.1|PROT;LIVER;NP_001011901.1|PROT;WAT-SC;NP_001011901.1|PHOSPHO;LUNG;NP_001011901.1_S509sS510s|PHOSPHO;KIDNEY;NP_001011901.1_S510s|PHOSPHO;LUNG;NP_001011901.1_S510s|PHOSPHO;LIVER;NP_001011901.1_S510s|PHOSPHO;LIVER;NP_001011901.1_S558s|PHOSPHO;KIDNEY;NP_001011901.1_S563s|PHOSPHO;HEART;NP_001011901.1_S810s|PHOSPHO;WAT-SC;NP_001011901.1_S810s|PHOSPHO;LIVER;NP_001011901.1_T486t,8,3,"PHOSPHO,PROT,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Acsf2,7,TRNSCRPT;SKM-GN;ENSRNOG00000003330|TRNSCRPT;LIVER;ENSRNOG00000003330|TRNSCRPT;WAT-SC;ENSRNOG00000003330|PROT;SKM-GN;NP_001030123.1|PROT;HEART;NP_001030123.1|PROT;KIDNEY;NP_001030123.1|PROT;LUNG;NP_001030123.1,2,2,"PROT,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Eci1,8,TRNSCRPT;HEART;ENSRNOG00000008843|TRNSCRPT;WAT-SC;ENSRNOG00000008843|PROT;SKM-GN;NP_059002.2|PROT;HEART;NP_059002.2|PROT;LIVER;NP_059002.2|PHOSPHO;LIVER;NP_059002.2_T249t|METHYL;KIDNEY;chr10-27595_cluster1|METHYL;LUNG;chr10-27595_cluster4,5,4,"METHYL,PHOSPHO,PROT,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Cck,16,TRNSCRPT;WAT-SC;ENSRNOG00000019321|METHYL;WAT-SC;chr8-260251_cluster3|METHYL;SKM-GN;chr8-260252_cluster1|METHYL;KIDNEY;chr8-260252_cluster2|METHYL;LUNG;chr8-260252_cluster2|METHYL;LIVER;chr8-260252_cluster2|METHYL;WAT-SC;chr8-260252_cluster2|METHYL;LIVER;chr8-260252_cluster3|METHYL;WAT-SC;chr8-260252_cluster4|METHYL;SKM-GN;chr8-260252_cluster6|METHYL;SKM-GN;chr8-260252_cluster7|METHYL;LUNG;chr8-260252_cluster7|METHYL;SKM-GN;chr8-260254_cluster1|METHYL;WAT-SC;chr8-260254_cluster1|METHYL;HEART;chr8-260254_cluster2|METHYL;LIVER;chr8-260254_cluster5,11,2,"METHYL,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Stip1,10,TRNSCRPT;SKM-GN;ENSRNOG00000021164|TRNSCRPT;LIVER;ENSRNOG00000021164|PROT;SKM-GN;NP_620266.1|PROT;HEART;NP_620266.1|PROT;KIDNEY;NP_620266.1|PROT;LUNG;NP_620266.1|PROT;LIVER;NP_620266.1|PROT;WAT-SC;NP_620266.1|PHOSPHO;WAT-SC;NP_620266.1_S16s|ATAC;LUNG;chr1:222292386-222294153,4,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Agap2,11,TRNSCRPT;LUNG;ENSRNOG00000025584|PHOSPHO;LUNG;XP_006241562.1_S821sS822s|METHYL;SKM-GN;chr7-140730_cluster3|METHYL;KIDNEY;chr7-140730_cluster3|METHYL;LIVER;chr7-140730_cluster3|METHYL;LUNG;chr7-140730_cluster4|METHYL;LIVER;chr7-140730_cluster4|METHYL;LUNG;chr7-140731_cluster4|METHYL;SKM-GN;chr7-140733_cluster4|METHYL;HEART;chr7-140733_cluster4|METHYL;WAT-SC;chr7-140734_cluster1,7,3,"METHYL,PHOSPHO,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Hspa1b,17,TRNSCRPT;HEART;ENSRNOG00000045654|PROT;SKM-GN;NP_114177.2|PROT;HEART;NP_114177.2|PROT;KIDNEY;NP_114177.2|PROT;LUNG;NP_114177.2|PROT;LIVER;NP_114177.2|PROT;WAT-SC;NP_114177.2|PHOSPHO;HEART;NP_114177.2_S307s|PHOSPHO;HEART;NP_114177.2_S418s|PHOSPHO;LIVER;NP_114177.2_S418s|PHOSPHO;HEART;NP_114177.2_S579s|PHOSPHO;HEART;NP_114177.2_S631s|PHOSPHO;LIVER;NP_114177.2_S631s|PHOSPHO;HEART;NP_114177.2_T636t|PHOSPHO;HEART;NP_114177.2_Y107y|PHOSPHO;SKM-GN;NP_114177.2_Y15y|PHOSPHO;HEART;NP_114177.2_Y15y,9,3,"PHOSPHO,PROT,TRNSCRPT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Kng1,7,PROT;HEART;NP_001009628.1|PROT;KIDNEY;NP_001009628.1|PROT;LUNG;NP_001009628.1|PROT;LIVER;NP_001009628.1|PROT;WAT-SC;NP_001009628.1|PHOSPHO;SKM-GN;NP_001009628.1_S403s|ATAC;LIVER;chr11:81443530-81445410,3,3,"ATAC,PHOSPHO,PROT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Sae1,6,PROT;SKM-GN;NP_001012063.1|PROT;HEART;NP_001012063.1|PROT;KIDNEY;NP_001012063.1|PROT;LUNG;NP_001012063.1|PROT;LIVER;NP_001012063.1|PROT;WAT-SC;NP_001012063.1,1,1,PROT,6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Fkbp5,6,PROT;SKM-GN;NP_001012174.1|PROT;HEART;NP_001012174.1|PROT;KIDNEY;NP_001012174.1|PROT;LUNG;NP_001012174.1|PROT;LIVER;NP_001012174.1|PROT;WAT-SC;NP_001012174.1,1,1,PROT,6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Fundc2,13,PROT;LIVER;NP_001129229.1|METHYL;HEART;chr18-804_cluster1|METHYL;LUNG;chr18-804_cluster4|METHYL;HEART;chr18-805_cluster2|METHYL;KIDNEY;chr18-805_cluster2|METHYL;LUNG;chr18-805_cluster2|METHYL;SKM-GN;chr18-805_cluster3|METHYL;LIVER;chr18-805_cluster3|METHYL;WAT-SC;chr18-805_cluster3|METHYL;LUNG;chr18-805_cluster4|METHYL;LIVER;chr18-805_cluster4|METHYL;WAT-SC;chr18-805_cluster4|METHYL;LUNG;chr18-805_cluster6,7,2,"METHYL,PROT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Kng2,6,PROT;HEART;NP_036828.2|PROT;KIDNEY;NP_036828.2|PROT;LUNG;NP_036828.2|PROT;LIVER;NP_036828.2|PROT;WAT-SC;NP_036828.2|PHOSPHO;SKM-GN;NP_036828.2_S403s,2,2,"PHOSPHO,PROT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
